FIPS_code,state_abbr,county_name,SVI,Vaccine_hesitancy,RCHSI,HACBI,low_vaccination_rate
22035,LA,East Carroll Parish,0.94,0.2862,0.801973894,0.904807386,1
4001,AZ,Apache County,0.99,0.3197,0.970391595,0.972938555,0
28051,MS,Holmes County,0.98,0.307,0.424068768,0.991722381,0
35019,NM,Guadalupe County,0.95,0.1453,0.1165234,0.696275072,0
28083,MS,Leflore County,0.97,0.307,0.508436804,0.965934416,0
1099,AL,Monroe County,0.75,0.2357,0.631327603,0.973256925,1
28065,MS,Jefferson Davis County,0.84,0.3016,0.805157593,0.928048392,1
28077,MS,Lawrence County,0.66,0.281,0.82075772,0.806112703,0
35031,NM,McKinley County,0.99,0.2343,0.593123209,0.949379179,0
46121,SD,Todd County,0.96,0.2068,0.299904489,0.88283986,0
22123,LA,West Carroll Parish,0.67,0.2862,0.800382044,0.404329831,1
47067,TN,Hancock County,0.77,0.2236,0.164278892,0.912448265,1
28069,MS,Kemper County,0.93,0.3008,0.958611907,0.965297676,1
22065,LA,Madison Parish,0.97,0.2862,0.64597262,0.928366762,1
28029,MS,Copiah County,0.94,0.2663,0.900986947,0.866602993,0
27077,MN,Lake of the Woods County,0.16,0.1377,0.416427889,0.014326648,0
28061,MS,Jasper County,0.77,0.3008,0.952881248,0.835402738,0
22027,LA,Claiborne Parish,0.95,0.2716,0.755491882,0.914995224,1
1063,AL,Greene County,0.99,0.2526,0.711556829,0.990130532,0
22041,LA,Franklin Parish,0.95,0.2862,0.655842089,0.862145813,1
5137,AR,Stone County,0.51,0.2654,0.623368354,0.538363578,1
1035,AL,Conecuh County,0.81,0.2357,0.76440624,0.908309456,1
45067,SC,Marion County,0.93,0.2305,0.820120981,0.94141993,1
28147,MS,Walthall County,0.86,0.281,0.815663801,0.909582935,1
22119,LA,Webster Parish,0.88,0.2516,0.53231455,0.851639605,1
45089,SC,Williamsburg County,0.97,0.2446,0.788283986,0.903852276,0
40001,OK,Adair County,0.9,0.2874,0.926456543,0.952562878,1
22083,LA,Richland Parish,0.86,0.2862,0.281120662,0.855141675,1
5041,AR,Desha County,0.96,0.2767,0.575294492,0.871378542,0
28129,MS,Smith County,0.47,0.3008,0.923909583,0.754536772,1
1131,AL,Wilcox County,0.93,0.2357,0.52849411,0.978032474,0
28135,MS,Tallahatchie County,0.97,0.3014,0.954154728,0.953199618,1
45005,SC,Allendale County,0.99,0.2402,0.404966571,0.910219675,0
40063,OK,Hughes County,0.81,0.2529,0.639605221,0.860553964,1
22067,LA,Morehouse Parish,0.88,0.2862,0.506844954,0.886978669,1
37173,NC,Swain County,0.78,0.1954,0.445081184,0.936326011,0
